順德,2351,2351.TW
旺宏,2337,2337.TW
通嘉,3588,3588.TW
力成,6239,6239.TW
致新,8081,8081.TW
宇瞻,8271,8271.TW
辛耘,3583,3583.TW
晶相光,3530,3530.TW
義隆電,2458,2458.TW
喬鼎,3057,3057.TW
神基,3005,3005.TW
上福,6128,6128.TW
緯穎,6669,6669.TW
事欣科,4916,4916.TW
迎廣,6117,6117.TW
倫飛,2364,2364.TW
精英,2331,2331.TW
昆盈,2365,2365.TW
歐格,3002,3002.TW
技嘉,2376,2376.TW
銘異,3060,3060.TW
美律,2439,2439.TW
智易,3596,3596.TW
光聖,6442,6442.TW
居易,6216,6216.TW
中華電,2412,2412.TW
台通,8011,8011.TW
華冠,8101,8101.TW
訊舟,3047,3047.TW
台灣大,3045,3045.TW
鈞寶,6155,6155.TW
華通,2313,2313.TW
晶技,3042,3042.TW
金橋,6133,6133.TW
競國,6108,6108.TW
新日興,3376,3376.TW
志聖,2467,2467.TW
燿華,2367,2367.TW
百容,2483,2483.TW
健策,3653,3653.TW
台郡,6269,6269.TW
台虹,8039,8039.TW
今皓,3011,3011.TW
錩新,2415,2415.TW
聯茂,6213,6213.TW
鑫禾科,4999,4999.TW
聯強,2347,2347.TW
大聯大,3702,3702.TW
增你強,3028,3028.TW
威健,3033,3033.TW
豐藝,6189,6189.TW
燦坤,2430,2430.TW
文曄,3036,3036.TW
陞泰,8072,8072.TW
華立,3010,3010.TW
全科,3209,3209.TW 
至上,8112,8112.TW
味全,1201,1201.TW
味王,1203,1203.TW
統一,1216,1216.TW
聯華食,1231,1231.TW
天仁,1233,1233.TW
南僑,1702,1702.TW
臺鹽,1737,1737.TW
卜蜂,1215,1215.TW
愛之味,1217,1217.TW
大統益,1232,1232.TW
佳格,1227,1227.TW
中華,2204,2204.TW
裕隆,2201,2201.TW
麗清,3346,3346.TW
帝寶,6605,6605.TW
安心,1259,1259.TW
汎德,2247,2247.TW
吉茂,1587,1587.TW
瑞利,1512,1512.TW
大億,1521,1521.TW
車王電,1533,1533.TW
東陽,1319,1319.TW
宏佳騰,1599,1599.TW
宏旭-KY,2243,2243.TW
華電,1603,1603.TW
中電,1611,1611.TW
榮星,1617,1617.TW
大亞,1609,1609.TW
禾聯碩,5283,5283.TW